iter	Passed	Remaining
0	145	261745
1	147	132414
2	149	89522
3	151	67991
4	153	55004
5	155	46421
6	157	40291
7	159	35735
8	161	32110
9	163	29203
10	164	26794
11	167	24893
12	169	23260
13	171	21834
14	173	20616
15	175	19562
16	177	18622
17	179	17779
18	181	17053
19	183	16356
20	185	15737
21	188	15223
22	190	14743
23	192	14262
24	194	13844
25	196	13435
26	199	13069
27	200	12717
28	203	12405
29	205	12117
30	207	11860
31	210	11608
32	212	11368
33	214	11136
34	216	10915
35	218	10714
36	220	10527
37	223	10341
38	225	10169
39	227	9999
40	229	9853
41	231	9699
42	233	9560
43	236	9437
44	238	9300
45	240	9176
46	243	9072
47	245	8965
48	247	8852
49	250	8756
50	252	8647
51	254	8545
52	256	8469
53	259	8375
54	260	8280
55	263	8198
56	265	8106
57	267	8024
58	269	7951
59	271	7869
60	273	7790
61	275	7729
62	277	7651
63	279	7584
64	281	7522
65	284	7468
66	286	7400
67	288	7342
68	290	7290
69	292	7231
70	294	7173
71	297	7129
72	298	7070
73	300	7014
74	302	6968
75	305	6922
76	307	6872
77	308	6820
78	311	6777
79	313	6735
80	315	6687
81	317	6644
82	318	6599
83	320	6554
84	322	6515
85	325	6483
86	327	6449
87	329	6418
88	332	6387
89	334	6347
90	336	6314
91	338	6280
92	340	6247
93	342	6219
94	344	6185
95	346	6150
96	348	6113
97	350	6085
98	352	6054
99	354	6021
100	356	5997
101	358	5964
102	360	5932
103	362	5909
104	364	5889
105	366	5864
106	368	5837
107	371	5812
108	373	5790
109	375	5762
110	377	5739
111	379	5716
112	381	5695
113	383	5672
114	385	5652
115	388	5636
116	390	5615
117	392	5597
118	394	5575
119	396	5556
120	398	5534
121	400	5513
122	402	5494
123	405	5477
124	407	5456
125	409	5436
126	411	5421
127	413	5402
128	415	5385
129	417	5366
130	419	5347
131	421	5327
132	423	5309
133	425	5291
134	427	5272
135	429	5254
136	431	5241
137	433	5224
138	435	5205
139	437	5189
140	439	5175
141	441	5159
142	444	5147
143	445	5128
144	447	5111
145	450	5098
146	452	5086
147	454	5069
148	455	5052
149	458	5039
150	460	5026
151	462	5013
152	464	5000
153	466	4986
154	468	4972
155	470	4957
156	472	4944
157	474	4928
158	476	4916
159	478	4905
160	480	4894
161	482	4880
162	484	4865
163	486	4853
164	488	4844
165	491	4834
166	493	4824
167	495	4814
168	497	4803
169	499	4791
170	501	4779
171	503	4766
172	505	4754
173	507	4745
174	509	4733
175	511	4724
176	513	4711
177	515	4701
178	518	4691
179	520	4683
180	522	4671
181	524	4660
182	526	4650
183	528	4642
184	530	4630
185	532	4621
186	534	4610
187	536	4603
188	538	4593
189	540	4582
190	542	4571
191	544	4560
192	546	4551
193	548	4541
194	550	4533
195	552	4523
196	554	4514
197	557	4507
198	559	4498
199	561	4489
200	563	4479
201	565	4470
202	567	4464
203	569	4454
204	571	4445
205	573	4437
206	575	4428
207	577	4419
208	579	4412
209	581	4405
210	583	4396
211	585	4389
212	588	4381
213	589	4371
214	591	4362
215	593	4355
216	596	4350
217	598	4342
218	600	4335
219	602	4327
220	604	4318
221	606	4311
222	608	4304
223	610	4296
224	612	4288
225	614	4280
226	616	4273
227	618	4265
228	620	4258
229	622	4251
230	624	4244
231	626	4236
232	628	4227
233	630	4219
234	632	4211
235	634	4204
236	636	4198
237	638	4191
238	640	4184
239	642	4176
240	644	4170
241	646	4162
242	648	4155
243	650	4147
244	652	4140
245	654	4135
246	656	4129
247	658	4122
248	660	4116
249	662	4110
250	664	4102
251	666	4095
252	669	4091
253	670	4083
254	672	4076
255	675	4073
256	677	4068
257	679	4062
258	681	4055
259	683	4046
260	684	4038
261	686	4032
262	689	4027
263	691	4021
264	692	4013
265	695	4009
266	697	4002
267	699	3996
268	701	3991
269	703	3986
270	705	3979
271	707	3974
272	709	3968
273	711	3962
274	713	3956
275	715	3949
276	717	3943
277	719	3938
278	721	3931
279	723	3926
280	725	3919
281	726	3913
282	729	3908
283	731	3903
284	733	3897
285	735	3891
286	737	3886
287	739	3881
288	741	3877
289	743	3873
290	745	3866
291	747	3861
292	749	3857
293	752	3852
294	754	3847
295	756	3843
296	758	3838
297	760	3832
298	762	3827
299	764	3823
300	766	3817
301	768	3813
302	770	3808
303	772	3803
304	775	3799
305	777	3796
306	779	3791
307	781	3786
308	784	3783
309	786	3777
310	787	3772
311	790	3769
312	792	3764
313	794	3759
314	797	3757
315	798	3751
316	801	3748
317	803	3744
318	805	3738
319	807	3733
320	809	3727
321	810	3722
322	812	3716
323	814	3709
324	815	3703
325	817	3698
326	820	3695
327	822	3689
328	823	3683
329	825	3678
330	827	3672
331	829	3668
332	831	3663
333	833	3658
334	835	3652
335	837	3649
336	839	3643
337	841	3638
338	842	3633
339	845	3628
340	846	3623
341	848	3619
342	850	3614
343	852	3608
